cik,gvkey,ticker,company_name,filing_date,fiscal_year,mdna_total_word_count,mdna_total_sentence_count,mdna_total_char_count,n_ai_candidate_sentences,n_generic_ai_sentences,n_substantive_ai_implementation_sentences,n_substantive_ai_risk_governance_sentences,n_substantive_ai_total_sentences,ai_candidate_intensity,generic_ai_intensity,substantive_ai_implementation_intensity,substantive_ai_risk_governance_intensity,substantive_ai_total_intensity,generic_ai_share,substantive_ai_share,substantive_impl_share,substantive_risk_share,net_substantive_minus_generic,impl_minus_generic,risk_minus_generic,any_generic_ai_dummy,any_substantive_ai_dummy,any_substantive_ai_implementation_dummy,any_substantive_ai_risk_governance_dummy,n_dropped_duplicate_sentences,avg_classification_confidence
,,GOOG,Alphabet Inc. Class C,2023-02-03,2023,18791,552,123319,1,0,0,0,0,0.004736309935607472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0.0
,,GOOG,Alphabet Inc. Class C,2024-01-31,2024,13629,400,90976,2,0,0,0,0,0.009465111160026414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,0.0
,,GOOG,Alphabet Inc. Class C,2025-02-05,2025,14154,399,94219,3,0,0,0,0,0.017097640243040838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0.0
0000001800,1078,ABT,Abbott Laboratories,2019-02-22,2019,14193,493,91934,1,0,0,0,0,0.0035228633833579936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0.95
0000001800,1078,ABT,Abbott Laboratories,2020-02-21,2020,14171,479,89857,1,0,0,0,0,0.0040928657116646675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,1.0
0000001800,1078,ABT,Abbott Laboratories,2021-02-19,2021,12130,397,76563,1,0,0,0,0,0.004781533388293487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,1.0
0000001800,1078,ABT,Abbott Laboratories,2022-02-18,2022,11968,396,76546,1,0,0,0,0,0.005013368983957219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,15,1.0
0000001800,1078,ABT,Abbott Laboratories,2023-02-17,2023,11311,392,74803,1,0,0,0,0,0.005835027848996552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,1.0
0000001800,1078,ABT,Abbott Laboratories,2024-02-16,2024,11598,411,77300,3,0,0,0,0,0.020607001207104673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17,0.9933333333333333
0000001800,1078,ABT,Abbott Laboratories,2025-02-21,2025,10847,390,71966,2,0,0,0,0,0.008850373375126763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,1.0
